tweet_id,tweet_text,labels
1045809514740666370,#sissy faggot https://t.co/bm1nk8HcYO,"[3, 3, 0]"
1114918192403578884,bf: move your bighead 😅😂  gf: NIGGA WHAT?? THAT’S WHY YOUR DADDY LEFT YOU IN ‘08!! https://t.co/rvA65cGaZs,"[2, 2, 1]"
1110349746495983623,Cardi got a new nigga every season she in love with #LHHATL https://t.co/txYOa7NA5I,"[0, 0, 1]"
1060885803423883264,me cos theres no strange brooding women w dyke energy in vld https://t.co/khZI6Wl1fa,"[2, 0, 0]"
1108457506882441222,I am proud to #serve the #superior #alphamale I am proud to be a #faggot https://t.co/95XEpSiPor,"[0, 0, 0]"
1114763799901495296,LEMONADE YO NIGGA WANNA DRANK 🤪 https://t.co/lL7uAiHrIZ,"[1, 2, 0]"
1045074231476801536,Julias asked if I'm taking my excersize bike to London. Da feck she trying to say. Daft bint. https://t.co/8zSjRR0WaQ,"[2, 5, 2]"
1105140485486768129,@Im_Pavlos Nigga! https://t.co/98l4Vtqpmh,"[0, 3, 0]"
1114870261084557313,I LOVE ARSE AND CUNT!!!! https://t.co/l2vpwOmy8f,"[2, 0, 3]"
1110295612107440128,I was cleaning up and suddenly this nigga pulled up talking bout shots fired. Who wit it https://t.co/NVusrWHIUK,"[2, 3, 2]"
1109363286494060550,White Trash Women Webcam Masturbation https://t.co/OY1BZY76WS https://t.co/0JIz5QkQ1d,"[3, 0, 2]"
1117318148275961856,#Clothespin fun for #faggot Andrew #gay #exposed #exposedfaggot #faggotexposed https://t.co/VIbYXkAOjP,"[0, 2, 3]"
1036320140189679617,Full Movie: https://t.co/Uo2KgKvWsZ Insanely seductive babe Tori Black posing and showing her sweet twat... https://t.co/dGUemislEo,"[0, 0, 0]"
1064173362719670273,@makeupbyshaniah @DillionDrugs 😂😂😂😂😂😂 This picture looks funny and retarded af https://t.co/kymNcQF1xM,"[0, 5, 0]"
1114540494728638465,"Live now Chicago,  11inch Top hood nigga taking a 14inch Zucchini...  See this and more at: https://t.co/MRDYFsX6d0 https://t.co/Kk7O9aUohM","[0, 3, 2]"
1057779006429261824,Clean Up This Creampie Out Off My Ass and Cunt JOI https://t.co/sJHckoGFIM https://t.co/MEAj8QWYc0,"[2, 0, 0]"
1064176975546339335,Like black's faggot sissy bitch ass? https://t.co/RNJe6bBakS,"[0, 3, 5]"
1114264676488175621,Click here to watch it: https://t.co/jV0wAUXmFA Latina MILF babe Ariella Ferrera gets a stiff dick in her cunt... https://t.co/QSpb2fSq3E,"[2, 2, 0]"
1051506283571015681,Sold! This vid is on fire! Worship BBC With Me Faggot https://t.co/GKea1Wvb3s #MVSales #ManyVids https://t.co/sPfTAHbOzV,"[3, 3, 5]"
1062049335137906688,New vid: Cunt Munching Milfs #02 https://t.co/xVmuUHUzVP https://t.co/4ilGdigWTj,"[5, 2, 2]"
1058187419202318337,Just another day in the trailer park. Shout out to @MountainDew for being a part of our redneck shenanigans https://t.co/9T8Rxrbhl7,"[1, 1, 1]"
1061398212689321984,get your nose right in there cunt https://t.co/9vsjNqchMq,"[0, 2, 0]"
1050008247753691137,Via: https://t.co/Tz6C9jmQ2w Madison Ivy Got Drilled Deep In Her Twat... https://t.co/SRlGZKn0bb,"[0, 0, 0]"
1045735112690860033,A tongue for a tongue makes a dyke bae cum 😛 ...&gt; https://t.co/szSTv7Xtee https://t.co/VA7Hv3Rtl1,"[0, 0, 0]"
1110027444512268288,NOT MY NIGGA CRASH BANDICOOOOOT https://t.co/QZdaLH6QZd,"[0, 0, 0]"
